poi,presenze,year,month,day,doy,dow,week,hour,holiday,festive,temperature,humidity,pressure,wind,rain
52,3,2014,1,1,1,3,1,1,0,1,8.03,66.97,1018.31,2.59,0.4
52,2,2014,1,1,1,3,1,2,0,1,6.06,74.73,1018.62,1.4,0.45
52,3,2014,1,2,2,4,1,0,0,0,5.15,83.98,1016.64,2.39,0.76
52,4,2014,1,2,2,4,1,1,0,0,5.64,85.78,1015.63,2.82,1.61
52,3,2014,1,2,2,4,1,2,0,0,5.29,87.72,1015.97,2.41,2.15
52,3,2014,1,3,3,5,1,0,0,0,6.71,87.5,1017.96,2.23,0.41
52,4,2014,1,3,3,5,1,1,0,0,7.57,85.51,1017.59,2.73,0.63
52,4,2014,1,3,3,5,1,2,0,0,7.18,87.16,1017.84,2.09,1.96
52,3,2014,1,4,4,6,1,0,1,0,7.0,92.67,1017.15,3.71,4.91
52,4,2014,1,4,4,6,1,1,1,0,7.56,93.0,1011.62,4.9,8.97
52,2,2014,1,5,5,7,1,1,1,0,8.6,87.95,1004.72,7.35,16.41
52,3,2014,1,6,6,1,2,1,0,1,10.95,74.86,1018.5,2.62,0.43
52,1,2014,1,7,7,2,2,0,0,0,8.13,85.04,1020.74,1.93,0.06
52,2,2014,1,7,7,2,2,1,0,0,9.35,81.89,1019.89,1.71,0.1
52,1,2014,1,7,7,2,2,2,0,0,8.79,83.37,1020.46,0.87,0.16
52,1,2014,1,8,8,3,2,0,0,0,7.62,87.08,1024.68,1.83,0.1
52,3,2014,1,8,8,3,2,1,0,0,9.19,82.75,1023.47,1.96,0.17
52,1,2014,1,9,9,4,2,0,0,0,6.61,88.0,1018.52,1.54,0.07
52,2,2014,1,9,9,4,2,1,0,0,8.02,85.19,1016.93,1.74,0.77
52,1,2014,1,9,9,4,2,2,0,0,7.69,86.29,1016.15,1.25,5.75
52,2,2014,1,10,10,5,2,0,0,0,8.25,88.74,1016.66,2.88,0.04
52,3,2014,1,10,10,5,2,1,0,0,9.08,85.7,1016.03,2.49,0.05
52,1,2014,1,10,10,5,2,2,0,0,8.77,85.66,1016.6,1.6,0.05
52,3,2014,1,11,11,6,2,1,1,0,9.19,84.87,1018.61,1.69,0.78
52,2,2014,1,12,12,7,2,1,1,0,9.21,80.48,1018.82,1.93,0.1
52,1,2014,1,12,12,7,2,2,1,0,8.16,83.37,1018.7,1.54,0.13
